block,latitude,longitude
0,45.984215,-112.539757
1,45.98479,-112.540723
2,45.984654,-112.540723
3,45.984514,-112.540723
4,45.984379,-112.540723
5,45.984212,-112.540723
6,45.984079,-112.540723
7,45.983937,-112.540723
8,45.9838,-112.540723
9,45.9838,-112.540574
10,45.983937,-112.540574
11,45.984079,-112.540574
12,45.984212,-112.540574
13,45.984379,-112.540574
14,45.984514,-112.540574
15,45.984654,-112.540574
16,45.98479,-112.540574
17,45.98479,-112.540423
18,45.984654,-112.540423
19,45.984514,-112.540423
20,45.984379,-112.540423
21,45.984212,-112.540423
22,45.984079,-112.540423
23,45.983937,-112.540423
24,45.9838,-112.540423
25,45.9838,-112.540257
26,45.983937,-112.540257
27,45.984079,-112.540257
28,45.984514,-112.540257
29,45.984654,-112.540257
30,45.98479,-112.540257
31,45.98479,-112.540102
32,45.984654,-112.540102
33,45.984514,-112.540102
34,45.984079,-112.540102
35,45.983937,-112.540102
36,45.9838,-112.540102
37,45.9838,-112.539908
38,45.983937,-112.539908
39,45.984079,-112.539908
40,45.984514,-112.539908
41,45.984654,-112.539908
42,45.98479,-112.539908
43,45.98479,-112.53975
44,45.984654,-112.53975
45,45.984514,-112.53975
46,45.984079,-112.53975
47,45.983937,-112.53975
48,45.9838,-112.53975
49,45.9838,-112.539592
50,45.983937,-112.539592
51,45.984079,-112.539592
52,45.984212,-112.539592
53,45.984379,-112.539592
54,45.984514,-112.539592
55,45.984654,-112.539592
56,45.98479,-112.539592
57,45.98479,-112.539436
58,45.984654,-112.539436
59,45.984514,-112.539436
60,45.984379,-112.539436
61,45.984212,-112.539436
62,45.984079,-112.539436
63,45.983937,-112.539436
64,45.9838,-112.539436
65,45.9838,-112.539276
66,45.983937,-112.539276
67,45.984079,-112.539276
68,45.984212,-112.539276
69,45.984379,-112.539276
70,45.984514,-112.539276
71,45.984654,-112.539276
72,45.98479,-112.539276
73,45.983664,-112.540723
74,45.983664,-112.540574
75,45.983664,-112.540423
76,45.983664,-112.540257
77,45.983664,-112.540102
78,45.983664,-112.539908
79,45.983664,-112.53975
80,45.983664,-112.539592
81,45.983664,-112.539436
82,45.983664,-112.539276
83,45.983526,-112.540723
84,45.983526,-112.540574
85,45.983526,-112.540423
86,45.983526,-112.540257
87,45.983526,-112.540102
88,45.983526,-112.539908
89,45.983526,-112.53975
90,45.983526,-112.539592
91,45.983526,-112.539436
92,45.983526,-112.539276
101,45.984924,-112.540723
102,45.984924,-112.540574
103,45.984924,-112.540423
104,45.984924,-112.540257
105,45.984924,-112.540102
106,45.984924,-112.539908
107,45.984924,-112.53975
108,45.984924,-112.539592
109,45.984924,-112.539436
110,45.984924,-112.539276
111,45.985071,-112.540723
112,45.985071,-112.540574
113,45.985071,-112.540423
114,45.985071,-112.540257
115,45.985071,-112.540102
116,45.985071,-112.539908
117,45.985071,-112.53975
118,45.985071,-112.539592
119,45.985071,-112.539436
120,45.985071,-112.539276
121,45.985208,-112.540723
122,45.985208,-112.540574
123,45.985208,-112.540423
124,45.985208,-112.540257
125,45.985208,-112.540102
126,45.985208,-112.539908
127,45.985208,-112.53975
128,45.985208,-112.539592
129,45.985208,-112.539436
130,45.985208,-112.539276
131,45.98534,-112.540723
132,45.98534,-112.540574
133,45.98534,-112.540423
134,45.98534,-112.540257
135,45.98534,-112.540102
136,45.98534,-112.539908
137,45.98534,-112.53975
138,45.98534,-112.539592
139,45.98534,-112.539436
140,45.98534,-112.539276
141,45.985482,-112.540723
142,45.985482,-112.540574
143,45.985482,-112.540423
144,45.985482,-112.540257
145,45.985482,-112.540102
146,45.985482,-112.539908
147,45.985482,-112.53975
148,45.985482,-112.539592
149,45.985482,-112.539436
150,45.985482,-112.539276
151,45.985611,-112.540723
152,45.985611,-112.540574
153,45.985611,-112.540423
154,45.985611,-112.540257
155,45.985611,-112.540102
156,45.985611,-112.539908
157,45.985611,-112.53975
158,45.985611,-112.539592
159,45.985611,-112.539436
160,45.985611,-112.539276
161,45.985611,-112.540926
162,45.985482,-112.540926
163,45.98534,-112.540926
164,45.985208,-112.540926
165,45.985071,-112.540926
166,45.984924,-112.540926
167,45.98479,-112.540926
168,45.984654,-112.540926
169,45.984514,-112.540926
170,45.984379,-112.540926
171,45.984212,-112.540926
172,45.984079,-112.540926
173,45.983937,-112.540926
174,45.9838,-112.540926
175,45.983664,-112.540926
176,45.983526,-112.540926
177,45.983526,-112.541094
178,45.983664,-112.541094
179,45.9838,-112.541094
180,45.983937,-112.541094
181,45.984079,-112.541094
182,45.984212,-112.541094
183,45.984379,-112.541094
184,45.984514,-112.541094
185,45.984654,-112.541094
186,45.98479,-112.541094
187,45.984924,-112.541094
188,45.985071,-112.541094
189,45.985208,-112.541094
190,45.98534,-112.541094
191,45.985482,-112.541094
192,45.985611,-112.541094
193,45.985611,-112.541251
